n[NODE_1].st,n[NODE_1].data,n[NODE_2].st,n[NODE_2].data,x,auxDATA,memDATA
I,DATA_1,I,DATA_1,true,DATA_1,DATA_1
I,DATA_1,T,DATA_1,true,DATA_1,DATA_1
I,DATA_1,C,DATA_1,false,DATA_1,DATA_1
T,DATA_1,T,DATA_1,true,DATA_1,DATA_1
I,DATA_2,C,DATA_1,false,DATA_1,DATA_2
I,DATA_1,E,DATA_1,false,DATA_1,DATA_1
T,DATA_1,C,DATA_1,false,DATA_1,DATA_1
I,DATA_2,E,DATA_1,false,DATA_1,DATA_2
T,DATA_2,C,DATA_1,false,DATA_1,DATA_2
T,DATA_1,E,DATA_1,false,DATA_1,DATA_1
I,DATA_2,I,DATA_1,true,DATA_1,DATA_1
T,DATA_2,E,DATA_1,false,DATA_1,DATA_2
I,DATA_1,T,DATA_2,true,DATA_1,DATA_1
I,DATA_2,T,DATA_1,true,DATA_1,DATA_1
T,DATA_2,T,DATA_1,true,DATA_1,DATA_1
I,DATA_2,C,DATA_1,false,DATA_1,DATA_1
T,DATA_2,C,DATA_1,false,DATA_1,DATA_1
I,DATA_1,C,DATA_1,false,DATA_1,DATA_2
I,DATA_2,E,DATA_1,false,DATA_1,DATA_1
T,DATA_1,C,DATA_1,false,DATA_1,DATA_2
T,DATA_2,E,DATA_1,false,DATA_1,DATA_1
I,DATA_1,E,DATA_1,false,DATA_1,DATA_2
T,DATA_1,E,DATA_1,false,DATA_1,DATA_2
